word,cefr_level,pos
actor,A1,noun
actress,A1,noun
adult,A1,noun
artist,A1,noun
aunt,A1,noun
baby,A1,noun
band,A1,noun
boy,A1,noun
boyfriend,A1,noun
brother,A1,noun
child,A1,noun
cousin,A1,noun
customer,A1,noun
dad,A1,noun
dancer,A1,noun
daughter,A1,noun
doctor,A1,noun
driver,A1,noun
family,A1,noun
farmer,A1,noun
father,A1,noun
friend,A1,noun
girl,A1,noun
girlfriend,A1,noun
grandfather,A1,noun
grandmother,A1,noun
grandparent,A1,noun
group,A1,noun
husband,A1,noun
man,A1,noun
member,A1,noun
model,A1,noun
mother,A1,noun
mum,A1,noun
neighbour,A1,noun
nurse,A1,noun
parent,A1,noun
partner,A1,noun
people,A1,noun
person,A1,noun
player,A1,noun
police,A1,noun
policeman,A1,noun
reader,A1,noun
scientist,A1,noun
singer,A1,noun
sister,A1,noun
son,A1,noun
student,A1,noun
teacher,A1,noun
team,A1,noun
teenager,A1,noun
tourist,A1,noun
uncle,A1,noun
visitor,A1,noun
waiter,A1,noun
wife,A1,noun
woman,A1,noun
worker,A1,noun
writer,A1,noun
apple,A1,noun
banana,A1,noun
beer,A1,noun
bread,A1,noun
breakfast,A1,noun
butter,A1,noun
cafe,A1,noun
cake,A1,noun
carrot,A1,noun
cheese,A1,noun
chicken,A1,noun
chocolate,A1,noun
coffee,A1,noun
cooking,A1,noun
cream,A1,noun
cup,A1,noun
diet,A1,noun
dinner,A1,noun
dish,A1,noun
egg,A1,noun
fish,A1,noun
food,A1,noun
fruit,A1,noun
ice,A1,noun
ice cream,A1,noun
juice,A1,noun
lunch,A1,noun
meal,A1,noun
meat,A1,noun
menu,A1,noun
milk,A1,noun
onion,A1,noun
orange,A1,noun
pasta,A1,noun
pepper,A1,noun
pizza,A1,noun
potato,A1,noun
restaurant,A1,noun
rice,A1,noun
salad,A1,noun
salt,A1,noun
sandwich,A1,noun
soup,A1,noun
sugar,A1,noun
tea,A1,noun
tomato,A1,noun
vegetable,A1,noun
water,A1,noun
wine,A1,noun
arm,A1,noun
body,A1,noun
ear,A1,noun
eye,A1,noun
face,A1,noun
foot,A1,noun
hair,A1,noun
hand,A1,noun
head,A1,noun
health,A1,noun
hospital,A1,noun
leg,A1,noun
mouth,A1,noun
nose,A1,noun
shower,A1,noun
tooth,A1,noun
to believe,A1,verb
to decide,A1,verb
to enjoy,A1,verb
to feel,A1,verb
to forget,A1,verb
to guess,A1,verb
to hate,A1,verb
to hope,A1,verb
to know,A1,verb
to like,A1,verb
to love,A1,verb
to mean,A1,verb
to miss,A1,verb
to need,A1,verb
to remember,A1,verb
to think,A1,verb
to understand,A1,verb
to want,A1,verb
to answer,A1,verb
to ask,A1,verb
to call,A1,verb
to explain,A1,verb
to hear,A1,verb
to introduce,A1,verb
to laugh,A1,verb
to listen,A1,verb
to meet,A1,verb
to repeat,A1,verb
to say,A1,verb
to show,A1,verb
to speak,A1,verb
to spell,A1,verb
to talk,A1,verb
to teach,A1,verb
to tell,A1,verb
to thank,A1,verb
to write,A1,verb
to buy,A1,verb
to clean,A1,verb
to cook,A1,verb
to cost,A1,verb
to drink,A1,verb
to eat,A1,verb
to order,A1,verb
to pay,A1,verb
to read,A1,verb
to relax,A1,verb
to see,A1,verb
to sing,A1,verb
to sit,A1,verb
to sleep,A1,verb
to spend,A1,verb
to study,A1,verb
to visit,A1,verb
to wake,A1,verb
to wash,A1,verb
to watch,A1,verb
to wear,A1,verb
to work,A1,verb
afraid,A1,adjective
angry,A1,adjective
bored,A1,adjective
boring,A1,adjective
excited,A1,adjective
exciting,A1,adjective
happy,A1,adjective
hungry,A1,adjective
interested,A1,adjective
interesting,A1,adjective
sad,A1,adjective
sorry,A1,adjective
thirsty,A1,adjective
tired,A1,adjective
beautiful,A1,adjective
big,A1,adjective
blonde,A1,adjective
clean,A1,adjective
cold,A1,adjective
cool,A1,adjective
dark,A1,adjective
dirty,A1,adjective
dry,A1,adjective
fat,A1,adjective
full,A1,adjective
hard,A1,adjective
healthy,A1,adjective
high,A1,adjective
hot,A1,adjective
large,A1,adjective
little,A1,adjective
long,A1,adjective
pretty,A1,adjective
short,A1,adjective
sick,A1,adjective
small,A1,adjective
strong,A1,adjective
tall,A1,adjective
warm,A1,adjective
young,A1,adjective
amazing,A1,adjective
bad,A1,adjective
best,A1,adjective
better,A1,adjective
correct,A1,adjective
dangerous,A1,adjective
dear,A1,adjective
delicious,A1,adjective
different,A1,adjective
difficult,A1,adjective
easy,A1,adjective
expensive,A1,adjective
false,A1,adjective
famous,A1,adjective
fantastic,A1,adjective
favourite,A1,adjective
fine,A1,adjective
funny,A1,adjective
good,A1,adjective
great,A1,adjective
important,A1,adjective
nice,A1,adjective
poor,A1,adjective
popular,A1,adjective
possible,A1,adjective
real,A1,adjective
rich,A1,adjective
special,A1,adjective
terrible,A1,adjective
true,A1,adjective
wonderful,A1,adjective
wrong,A1,adjective
again,A1,adverb
ago,A1,adverb
always,A1,adverb
ever,A1,adverb
just,A1,adverb
later,A1,adverb
never,A1,adverb
now,A1,adverb
o'clock,A1,adverb
often,A1,adverb
once,A1,adverb
sometimes,A1,adverb
soon,A1,adverb
then,A1,adverb
today,A1,adverb
tomorrow,A1,adverb
tonight,A1,adverb
twice,A1,adverb
usually,A1,adverb
yesterday,A1,adverb
away,A1,adverb
back,A1,adverb
down,A1,adverb
downstairs,A1,adverb
far,A1,adverb
here,A1,adverb
there,A1,adverb
upstairs,A1,adverb
even,A1,adverb
only,A1,adverb
quite,A1,adverb
really,A1,adverb
too,A1,adverb
very,A1,adverb
also,A1,adverb
else,A1,adverb
how,A1,adverb
maybe,A1,adverb
not,A1,adverb
quickly,A1,adverb
together,A1,adverb
well,A1,adverb
why,A1,adverb
architect,A2,noun
army,A2,noun
assistant,A2,noun
athlete,A2,noun
audience,A2,noun
author,A2,noun
boss,A2,noun
buddy,A2,noun
businessman,A2,noun
celebrity,A2,noun
character,A2,noun
chef,A2,noun
coach,A2,noun
colleague,A2,noun
cook,A2,noun
couple,A2,noun
dentist,A2,noun
designer,A2,noun
detective,A2,noun
director,A2,noun
employee,A2,noun
employer,A2,noun
engineer,A2,noun
fan,A2,noun
guest,A2,noun
guide,A2,noun
guy,A2,noun
hero,A2,noun
idiot,A2,noun
instructor,A2,noun
journalist,A2,noun
kid,A2,noun
king,A2,noun
lady,A2,noun
lawyer,A2,noun
leader,A2,noun
listener,A2,noun
manager,A2,noun
musician,A2,noun
officer,A2,noun
owner,A2,noun
painter,A2,noun
passenger,A2,noun
patient,A2,noun
pilot,A2,noun
pirate,A2,noun
population,A2,noun
president,A2,noun
professor,A2,noun
queen,A2,noun
reporter,A2,noun
researcher,A2,noun
runner,A2,noun
secretary,A2,noun
sir,A2,noun
soldier,A2,noun
speaker,A2,noun
thief,A2,noun
traveller,A2,noun
twin,A2,noun
user,A2,noun
winner,A2,noun
ankle,A2,noun
birth,A2,noun
blood,A2,noun
bone,A2,noun
brain,A2,noun
death,A2,noun
drug,A2,noun
finger,A2,noun
flu,A2,noun
headache,A2,noun
heart,A2,noun
illness,A2,noun
injury,A2,noun
knee,A2,noun
medicine,A2,noun
mind,A2,noun
neck,A2,noun
pain,A2,noun
shoulder,A2,noun
skin,A2,noun
stomach,A2,noun
toe,A2,noun
bean,A2,noun
beef,A2,noun
biscuit,A2,noun
bowl,A2,noun
can,A2,noun
chip,A2,noun
fork,A2,noun
grape,A2,noun
jam,A2,noun
knife,A2,noun
lemon,A2,noun
nut,A2,noun
pear,A2,noun
plate,A2,noun
recipe,A2,noun
sauce,A2,noun
spoon,A2,noun
strawberry,A2,noun
to accept,A2,verb
to advertise,A2,verb
to agree,A2,verb
to argue,A2,verb
to arrange,A2,verb
to attend,A2,verb
to chat,A2,verb
to communicate,A2,verb
to complain,A2,verb
to disagree,A2,verb
to express,A2,verb
to greet,A2,verb
to invite,A2,verb
to mail,A2,verb
to mention,A2,verb
to pronounce,A2,verb
to publish,A2,verb
to receive,A2,verb
to recommend,A2,verb
to reply,A2,verb
to report,A2,verb
to request,A2,verb
to shout,A2,verb
to suggest,A2,verb
to text,A2,verb
to care,A2,verb
to consider,A2,verb
to depend,A2,verb
to dream,A2,verb
to expect,A2,verb
to focus,A2,verb
to imagine,A2,verb
to matter,A2,verb
to mind,A2,verb
to notice,A2,verb
to prefer,A2,verb
to realise,A2,verb
to recognise,A2,verb
to seem,A2,verb
to suppose,A2,verb
to surprise,A2,verb
to wish,A2,verb
to worry,A2,verb
to appear,A2,verb
to attack,A2,verb
to beat,A2,verb
to blow,A2,verb
to brush,A2,verb
to burn,A2,verb
to catch,A2,verb
to cross,A2,verb
to cry,A2,verb
to cycle,A2,verb
to drop,A2,verb
to hide,A2,verb
to hit,A2,verb
to hold,A2,verb
to hurry,A2,verb
to hurt,A2,verb
to jump,A2,verb
to kick,A2,verb
to kiss,A2,verb
to knock,A2,verb
to land,A2,verb
to lift,A2,verb
to pack,A2,verb
to pass,A2,verb
to pick,A2,verb
to pull,A2,verb
to push,A2,verb
to raise,A2,verb
to reach,A2,verb
to ring,A2,verb
to shake,A2,verb
to shut,A2,verb
to ski,A2,verb
to smell,A2,verb
to smile,A2,verb
to step,A2,verb
to swing,A2,verb
to taste,A2,verb
to throw,A2,verb
to tie,A2,verb
to touch,A2,verb
to wave,A2,verb
to achieve,A2,verb
to act,A2,verb
to allow,A2,verb
to apply,A2,verb
to book,A2,verb
to camp,A2,verb
to celebrate,A2,verb
to compete,A2,verb
to earn,A2,verb
to employ,A2,verb
to fail,A2,verb
to film,A2,verb
to guide,A2,verb
to lead,A2,verb
to lend,A2,verb
to manage,A2,verb
to mark,A2,verb
to marry,A2,verb
to offer,A2,verb
to organise,A2,verb
to perform,A2,verb
to photograph,A2,verb
to score,A2,verb
to serve,A2,verb
to succeed,A2,verb
asleep,A2,adjective
comfortable,A2,adjective
lucky,A2,adjective
nervous,A2,adjective
pleased,A2,adjective
scared,A2,adjective
surprised,A2,adjective
unhappy,A2,adjective
upset,A2,adjective
worried,A2,adjective
active,A2,adjective
careful,A2,adjective
clever,A2,adjective
crazy,A2,adjective
creative,A2,adjective
helpful,A2,adjective
intelligent,A2,adjective
lazy,A2,adjective
polite,A2,adjective
rude,A2,adjective
serious,A2,adjective
stupid,A2,adjective
successful,A2,adjective
attractive,A2,adjective
bright,A2,adjective
broken,A2,adjective
closed,A2,adjective
crowded,A2,adjective
curly,A2,adjective
cute,A2,adjective
deep,A2,adjective
empty,A2,adjective
enormous,A2,adjective
flat,A2,adjective
